,PassengerId,Survived,
1,892,0,1
2,893,0,0
3,894,0,1
4,895,0,1
5,896,0,1
6,897,1,1
7,898,0,0
8,899,0,1
9,900,1,0
10,901,0,1
11,902,0,1
12,903,0,1
13,904,1,1
14,905,0,1
15,906,1,0
16,907,1,1
17,908,0,1
18,909,0,1
19,910,1,1
20,911,0,0
21,912,0,1
22,913,0,1
23,914,1,0
24,915,1,1
25,916,1,1
26,917,0,1
27,918,1,1
28,919,0,1
29,920,1,1
30,921,1,1
31,922,0,1
32,923,0,1
33,924,1,1
34,925,1,1
35,926,1,1
36,927,0,1
37,928,0,0
38,929,0,0
39,930,0,1
40,931,0,1
41,932,0,1
42,933,1,1
43,934,0,1
44,935,1,0
45,936,1,0
46,937,0,1
47,938,0,1
48,939,0,1
49,940,1,0
50,941,1,1
51,942,0,1
52,943,0,1
53,944,1,1
54,945,1,1
55,946,0,1
56,947,0,1
57,948,0,1
58,949,0,1
59,950,0,1
60,951,1,1
61,952,0,1
62,953,1,1
63,954,0,1
64,955,1,0
65,956,1,1
66,957,1,0
67,958,0,0
68,959,0,1
69,960,0,1
70,961,1,0
71,962,1,0
72,963,0,1
73,964,0,0
74,965,0,1
75,966,1,1
76,967,1,1
77,968,0,1
78,969,1,0
79,970,0,1
80,971,1,0
81,972,1,1
82,973,0,1
83,974,1,1
84,975,0,1
85,976,0,1
86,977,0,1
87,978,1,0
88,979,1,0
89,980,1,0
90,981,1,1
91,982,0,1
92,983,0,1
93,984,1,1
94,985,0,1
95,986,1,1
96,987,0,1
97,988,1,0
98,989,0,1
99,990,1,0
100,991,0,1
101,992,1,1
102,993,0,1
103,994,0,1
104,995,0,1
105,996,1,1
106,997,0,1
107,998,0,1
108,999,0,1
109,1000,0,1
110,1001,0,1
111,1002,0,1
112,1003,1,0
113,1004,1,0
114,1005,0,0
115,1006,1,0
116,1007,0,1
117,1008,0,1
118,1009,1,1
119,1010,1,1
120,1011,1,1
121,1012,1,0
122,1013,0,1
123,1014,1,1
124,1015,0,1
125,1016,0,1
126,1017,1,1
127,1018,0,1
128,1019,1,1
129,1020,0,1
130,1021,0,1
131,1022,0,1
132,1023,0,1
133,1024,0,1
134,1025,0,1
135,1026,0,1
136,1027,0,1
137,1028,0,1
138,1029,0,1
139,1030,0,0
140,1031,0,1
141,1032,0,1
142,1033,1,0
143,1034,0,1
144,1035,0,1
145,1036,1,1
146,1037,0,1
147,1038,0,0
148,1039,0,1
149,1040,0,1
150,1041,0,1
151,1042,1,1
152,1043,0,1
153,1044,0,1
154,1045,1,1
155,1046,0,1
156,1047,0,1
157,1048,1,1
158,1049,1,0
159,1050,1,1
160,1051,0,1
161,1052,1,0
162,1053,1,1
163,1054,1,0
164,1055,0,1
165,1056,0,1
166,1057,0,1
167,1058,0,1
168,1059,0,1
169,1060,1,0
170,1061,0,0
171,1062,0,1
172,1063,1,1
173,1064,0,1
174,1065,1,1
175,1066,0,1
176,1067,1,1
177,1068,1,0
178,1069,0,1
179,1070,1,0
180,1071,1,0
181,1072,0,1
182,1073,1,0
183,1074,1,0
184,1075,0,1
185,1076,1,1
186,1077,0,1
187,1078,1,1
188,1079,0,1
189,1080,0,1
190,1081,0,1
191,1082,0,1
192,1083,1,1
193,1084,1,1
194,1085,0,1
195,1086,1,1
196,1087,0,1
197,1088,1,0
198,1089,1,0
199,1090,0,1
200,1091,0,0
201,1092,1,0
202,1093,1,1
203,1094,0,1
204,1095,1,1
205,1096,0,1
206,1097,0,1
207,1098,0,0
208,1099,0,1
209,1100,1,0
210,1101,0,1
211,1102,1,1
212,1103,0,1
213,1104,0,1
214,1105,1,0
215,1106,0,0
216,1107,0,1
217,1108,1,0
218,1109,0,1
219,1110,1,1
220,1111,0,1
221,1112,1,1
222,1113,0,1
223,1114,1,0
224,1115,0,1
225,1116,1,0
226,1117,1,1
227,1118,0,1
228,1119,0,0
229,1120,0,1
230,1121,0,1
231,1122,1,1
232,1123,1,0
233,1124,0,1
234,1125,0,1
235,1126,0,1
236,1127,0,1
237,1128,0,1
238,1129,0,1
239,1130,1,1
240,1131,1,1
241,1132,1,0
242,1133,1,0
243,1134,0,0
244,1135,0,1
245,1136,0,1
246,1137,0,1
247,1138,1,0
248,1139,0,1
249,1140,1,1
250,1141,0,1
251,1142,1,1
252,1143,0,1
253,1144,0,1
254,1145,0,1
255,1146,1,1
256,1147,0,1
257,1148,0,1
258,1149,0,1
259,1150,1,0
260,1151,0,1
261,1152,0,1
262,1153,0,1
263,1154,1,1
264,1155,1,1
265,1156,0,1
266,1157,0,1
267,1158,0,1
268,1159,0,1
269,1160,0,0
270,1161,0,1
271,1162,0,1
272,1163,0,1
273,1164,1,1
274,1165,1,1
275,1166,0,1
276,1167,1,1
277,1168,0,1
278,1169,0,1
279,1170,0,1
280,1171,0,1
281,1172,0,0
282,1173,1,1
283,1174,1,0
284,1175,0,1
285,1176,1,1
286,1177,0,1
287,1178,0,1
288,1179,0,1
289,1180,0,1
290,1181,0,1
291,1182,0,1
292,1183,0,0
293,1184,0,1
294,1185,0,1
295,1186,0,1
296,1187,0,1
297,1188,1,1
298,1189,0,1
299,1190,0,1
300,1191,0,1
301,1192,0,1
302,1193,0,1
303,1194,0,1
304,1195,0,1
305,1196,1,0
306,1197,1,0
307,1198,0,1
308,1199,1,1
309,1200,0,1
310,1201,0,0
311,1202,0,1
312,1203,0,1
313,1204,0,1
314,1205,1,0
315,1206,1,0
316,1207,1,0
317,1208,0,1
318,1209,0,1
319,1210,0,1
320,1211,0,1
321,1212,0,1
322,1213,0,1
323,1214,0,1
324,1215,1,1
325,1216,1,0
326,1217,0,1
327,1218,1,1
328,1219,0,1
329,1220,0,1
330,1221,1,1
331,1222,1,0
332,1223,0,1
333,1224,0,1
334,1225,1,1
335,1226,0,1
336,1227,0,1
337,1228,1,1
338,1229,0,1
339,1230,0,1
340,1231,0,1
341,1232,0,1
342,1233,0,1
343,1234,0,1
344,1235,1,0
345,1236,0,1
346,1237,1,0
347,1238,0,1
348,1239,0,0
349,1240,0,1
350,1241,1,0
351,1242,1,0
352,1243,0,1
353,1244,0,1
354,1245,0,1
355,1246,1,1
356,1247,1,0
357,1248,1,0
358,1249,0,1
359,1250,0,1
360,1251,1,1
361,1252,0,1
362,1253,1,1
363,1254,1,0
364,1255,0,1
365,1256,1,0
366,1257,0,1
367,1258,0,1
368,1259,0,0
369,1260,1,0
370,1261,0,1
371,1262,0,1
372,1263,1,0
373,1264,0,1
374,1265,0,1
375,1266,1,0
376,1267,1,0
377,1268,0,1
378,1269,0,1
379,1270,0,1
380,1271,1,1
381,1272,0,1
382,1273,0,1
383,1274,0,0
384,1275,1,1
385,1276,0,1
386,1277,1,1
387,1278,0,1
388,1279,0,1
389,1280,0,1
390,1281,0,1
391,1282,0,1
392,1283,1,0
393,1284,1,1
394,1285,0,1
395,1286,0,1
396,1287,1,1
397,1288,0,1
398,1289,1,1
399,1290,0,1
400,1291,0,1
401,1292,1,1
402,1293,0,1
403,1294,1,1
404,1295,0,1
405,1296,0,1
406,1297,1,1
407,1298,0,1
408,1299,0,1
409,1300,1,0
410,1301,1,1
411,1302,1,0
412,1303,1,1
413,1304,0,0
414,1305,0,1
415,1306,1,1
416,1307,0,1
417,1308,0,1
418,1309,1,1
,,0.375598086,0.782296651
